counts,transA,transB,M,N,K,lda,ldb,ldc
21,N,T,10368,1152,384,10368,1152,44160
7,N,T,10368,1152,384,44160,1152,44160
12,N,T,10368,1153,384,10368,1153,44160
4,N,T,10368,1153,384,44160,1153,44160
2,N,T,10368,1536,384,10368,1536,44160
37,N,T,10368,2688,384,10368,2688,44160
13,N,T,10368,2688,384,44160,2688,44160
35,N,T,10368,3072,384,10368,3072,44160
11,N,T,10368,3072,384,44160,3072,44160
2,N,T,10368,384,384,10368,384,44160
1,N,T,10368,768,384,10368,768,44160
1,N,T,10368,768,384,44160,768,44160
13,N,T,10752,1152,384,10752,1152,44160
5,N,T,10752,1152,384,44160,1152,44160
12,N,T,10752,1153,384,10752,1153,44160
4,N,T,10752,1153,384,44160,1153,44160
9,N,T,10752,1536,384,10752,1536,44160
3,N,T,10752,1536,384,44160,1536,44160
2,N,T,10752,1920,384,10752,1920,44160
36,N,T,10752,2688,384,10752,2688,44160
12,N,T,10752,2688,384,44160,2688,44160
36,N,T,10752,3072,384,10752,3072,44160
12,N,T,10752,3072,384,44160,3072,44160
9,N,T,10752,384,384,10752,384,44160
3,N,T,10752,384,384,44160,384,44160
2,N,T,10752,768,384,10752,768,44160
14,N,T,11136,1152,384,11136,1152,44160
4,N,T,11136,1152,384,44160,1152,44160
12,N,T,11136,1153,384,11136,1153,44160
4,N,T,11136,1153,384,44160,1153,44160
1,N,T,11136,1536,384,11136,1536,44160
1,N,T,11136,1536,384,44160,1536,44160
9,N,T,11136,1920,384,11136,1920,44160
3,N,T,11136,1920,384,44160,1920,44160
2,N,T,11136,2304,384,11136,2304,44160
36,N,T,11136,2688,384,11136,2688,44160
12,N,T,11136,2688,384,44160,2688,44160
36,N,T,11136,3072,384,11136,3072,44160
12,N,T,11136,3072,384,44160,3072,44160
1,N,T,11136,384,384,11136,384,44160
1,N,T,11136,384,384,44160,384,44160
9,N,T,11136,768,384,11136,768,44160
3,N,T,11136,768,384,44160,768,44160
21,N,T,11520,1152,384,11520,1152,44160
7,N,T,11520,1152,384,44160,1152,44160
12,N,T,11520,1153,384,11520,1153,44160
4,N,T,11520,1153,384,44160,1153,44160
2,N,T,11520,1536,384,11520,1536,44160
1,N,T,11520,1920,384,11520,1920,44160
1,N,T,11520,1920,384,44160,1920,44160
9,N,T,11520,2304,384,11520,2304,44160
3,N,T,11520,2304,384,44160,2304,44160
38,N,T,11520,2688,384,11520,2688,44160
12,N,T,11520,2688,384,44160,2688,44160
36,N,T,11520,3072,384,11520,3072,44160
12,N,T,11520,3072,384,44160,3072,44160
1,N,T,11520,768,384,11520,768,44160
1,N,T,11520,768,384,44160,768,44160
12,N,T,1152,1152,384,1152,1152,44160
4,N,T,1152,1152,384,44160,1152,44160
10,N,T,1152,1153,384,1152,1153,44160
2,N,T,1152,1153,384,44160,1153,44160
4,N,T,1152,384,384,1152,384,44160
2,N,T,1152,769,384,1152,769,44160
2,N,T,1152,769,384,44160,769,44160
13,N,T,11904,1152,384,11904,1152,44160
5,N,T,11904,1152,384,44160,1152,44160
12,N,T,11904,1153,384,11904,1153,44160
4,N,T,11904,1153,384,44160,1153,44160
9,N,T,11904,1536,384,11904,1536,44160
3,N,T,11904,1536,384,44160,1536,44160
2,N,T,11904,1920,384,11904,1920,44160
1,N,T,11904,2304,384,11904,2304,44160
1,N,T,11904,2304,384,44160,2304,44160
47,N,T,11904,2688,384,11904,2688,44160
15,N,T,11904,2688,384,44160,2688,44160
36,N,T,11904,3072,384,11904,3072,44160
12,N,T,11904,3072,384,44160,3072,44160
2,N,T,11904,384,384,11904,384,44160
12,N,T,12288,1152,384,12288,1152,44160
4,N,T,12288,1152,384,44160,1152,44160
12,N,T,12288,1153,384,12288,1153,44160
4,N,T,12288,1153,384,44160,1153,44160
1,N,T,12288,1536,384,12288,1536,44160
1,N,T,12288,1536,384,44160,1536,44160
9,N,T,12288,1920,384,12288,1920,44160
3,N,T,12288,1920,384,44160,1920,44160
2,N,T,12288,2304,384,12288,2304,44160
48,N,T,12288,2688,384,12288,2688,44160
16,N,T,12288,2688,384,44160,2688,44160
36,N,T,12288,3072,384,12288,3072,44160
12,N,T,12288,3072,384,44160,3072,44160
9,N,T,12288,384,384,12288,384,44160
3,N,T,12288,384,384,44160,384,44160
2,N,T,12288,768,384,12288,768,44160
14,N,T,12672,1152,384,12672,1152,44160
4,N,T,12672,1152,384,44160,1152,44160
12,N,T,12672,1153,384,12672,1153,44160
4,N,T,12672,1153,384,44160,1153,44160
1,N,T,12672,1920,384,12672,1920,44160
1,N,T,12672,1920,384,44160,1920,44160
9,N,T,12672,2304,384,12672,2304,44160
3,N,T,12672,2304,384,44160,2304,44160
50,N,T,12672,2688,384,12672,2688,44160
16,N,T,12672,2688,384,44160,2688,44160
36,N,T,12672,3072,384,12672,3072,44160
12,N,T,12672,3072,384,44160,3072,44160
1,N,T,12672,384,384,12672,384,44160
