counts,transA,transB,M,N,K,lda,ldb,ldc
2,N,T,10240,1024,256,10240,1024,44288
12,N,T,10240,1280,256,10240,1280,44288
4,N,T,10240,1280,256,44288,1280,44288
12,N,T,10240,1281,256,10240,1281,44288
4,N,T,10240,1281,256,44288,1281,44288
1,N,T,10240,1536,256,10240,1536,44288
1,N,T,10240,1536,256,44288,1536,44288
59,N,T,10240,1792,256,10240,1792,44288
19,N,T,10240,1792,256,44288,1792,44288
48,N,T,10240,2048,256,10240,2048,44288
16,N,T,10240,2048,256,44288,2048,44288
2,N,T,10240,256,256,10240,256,44288
1,N,T,10240,512,256,10240,512,44288
1,N,T,10240,512,256,44288,512,44288
9,N,T,10240,768,256,10240,768,44288
3,N,T,10240,768,256,44288,768,44288
8,N,T,1024,1024,256,1024,1024,44288
4,N,T,1024,1024,256,44288,1024,44288
10,N,T,1024,1025,256,1024,1025,44288
2,N,T,1024,1025,256,44288,1025,44288
4,N,T,1024,1280,256,1024,1280,44288
2,N,T,1024,769,256,1024,769,44288
2,N,T,1024,769,256,44288,769,44288
9,N,T,10496,1024,256,10496,1024,44288
3,N,T,10496,1024,256,44288,1024,44288
14,N,T,10496,1280,256,10496,1280,44288
4,N,T,10496,1280,256,44288,1280,44288
12,N,T,10496,1281,256,10496,1281,44288
4,N,T,10496,1281,256,44288,1281,44288
60,N,T,10496,1792,256,10496,1792,44288
20,N,T,10496,1792,256,44288,1792,44288
48,N,T,10496,2048,256,10496,2048,44288
16,N,T,10496,2048,256,44288,2048,44288
9,N,T,10496,256,256,10496,256,44288
3,N,T,10496,256,256,44288,256,44288
2,N,T,10496,512,256,10496,512,44288
1,N,T,10496,768,256,10496,768,44288
1,N,T,10496,768,256,44288,768,44288
1,N,T,10752,1024,256,10752,1024,44288
1,N,T,10752,1024,256,44288,1024,44288
21,N,T,10752,1280,256,10752,1280,44288
7,N,T,10752,1280,256,44288,1280,44288
12,N,T,10752,1281,256,10752,1281,44288
4,N,T,10752,1281,256,44288,1281,44288
2,N,T,10752,1536,256,10752,1536,44288
60,N,T,10752,1792,256,10752,1792,44288
20,N,T,10752,1792,256,44288,1792,44288
48,N,T,10752,2048,256,10752,2048,44288
16,N,T,10752,2048,256,44288,2048,44288
1,N,T,10752,256,256,10752,256,44288
1,N,T,10752,256,256,44288,256,44288
9,N,T,10752,512,256,10752,512,44288
3,N,T,10752,512,256,44288,512,44288
2,N,T,10752,768,256,10752,768,44288
2,N,T,11008,1024,256,11008,1024,44288
13,N,T,11008,1280,256,11008,1280,44288
5,N,T,11008,1280,256,44288,1280,44288
12,N,T,11008,1281,256,11008,1281,44288
4,N,T,11008,1281,256,44288,1281,44288
9,N,T,11008,1536,256,11008,1536,44288
3,N,T,11008,1536,256,44288,1536,44288
62,N,T,11008,1792,256,11008,1792,44288
20,N,T,11008,1792,256,44288,1792,44288
48,N,T,11008,2048,256,11008,2048,44288
16,N,T,11008,2048,256,44288,2048,44288
1,N,T,11008,512,256,11008,512,44288
1,N,T,11008,512,256,44288,512,44288
9,N,T,11008,768,256,11008,768,44288
3,N,T,11008,768,256,44288,768,44288
9,N,T,11264,1024,256,11264,1024,44288
3,N,T,11264,1024,256,44288,1024,44288
14,N,T,11264,1280,256,11264,1280,44288
4,N,T,11264,1280,256,44288,1280,44288
12,N,T,11264,1281,256,11264,1281,44288
4,N,T,11264,1281,256,44288,1281,44288
1,N,T,11264,1536,256,11264,1536,44288
1,N,T,11264,1536,256,44288,1536,44288
69,N,T,11264,1792,256,11264,1792,44288
23,N,T,11264,1792,256,44288,1792,44288
50,N,T,11264,2048,256,11264,2048,44288
16,N,T,11264,2048,256,44288,2048,44288
1,N,T,11264,768,256,11264,768,44288
1,N,T,11264,768,256,44288,768,44288
1,N,T,11520,1024,256,11520,1024,44288
1,N,T,11520,1024,256,44288,1024,44288
21,N,T,11520,1280,256,11520,1280,44288
7,N,T,11520,1280,256,44288,1280,44288
12,N,T,11520,1281,256,11520,1281,44288
4,N,T,11520,1281,256,44288,1281,44288
2,N,T,11520,1536,256,11520,1536,44288
61,N,T,11520,1792,256,11520,1792,44288
21,N,T,11520,1792,256,44288,1792,44288
59,N,T,11520,2048,256,11520,2048,44288
19,N,T,11520,2048,256,44288,2048,44288
2,N,T,11520,256,256,11520,256,44288
13,N,T,11776,1280,256,11776,1280,44288
5,N,T,11776,1280,256,44288,1280,44288
12,N,T,11776,1281,256,11776,1281,44288
4,N,T,11776,1281,256,44288,1281,44288
9,N,T,11776,1536,256,11776,1536,44288
3,N,T,11776,1536,256,44288,1536,44288
62,N,T,11776,1792,256,11776,1792,44288
20,N,T,11776,1792,256,44288,1792,44288
60,N,T,11776,2048,256,11776,2048,44288
20,N,T,11776,2048,256,44288,2048,44288
9,N,T,11776,256,256,11776,256,44288
3,N,T,11776,256,256,44288,256,44288
2,N,T,11776,512,256,11776,512,44288
12,N,T,12032,1280,256,12032,1280,44288
4,N,T,12032,1280,256,44288,1280,44288
12,N,T,12032,1281,256,12032,1281,44288
4,N,T,12032,1281,256,44288,1281,44288
1,N,T,12032,1536,256,12032,1536,44288
1,N,T,12032,1536,256,44288,1536,44288
71,N,T,12032,1792,256,12032,1792,44288
23,N,T,12032,1792,256,44288,1792,44288
60,N,T,12032,2048,256,12032,2048,44288
20,N,T,12032,2048,256,44288,2048,44288
3,N,T,12032,256,256,12032,256,44288
1,N,T,12032,256,256,44288,256,44288
9,N,T,12032,512,256,12032,512,44288
3,N,T,12032,512,256,44288,512,44288
2,N,T,12032,768,256,12032,768,44288
2,N,T,12288,1024,256,12288,1024,44288
12,N,T,12288,1280,256,12288,1280,44288
4,N,T,12288,1280,256,44288,1280,44288
12,N,T,12288,1281,256,12288,1281,44288
4,N,T,12288,1281,256,44288,1281,44288
72,N,T,12288,1792,256,12288,1792,44288
24,N,T,12288,1792,256,44288,1792,44288
60,N,T,12288,2048,256,12288,2048,44288
20,N,T,12288,2048,256,44288,2048,44288
9,N,T,12288,256,256,12288,256,44288
3,N,T,12288,256,256,44288,256,44288
3,N,T,12288,512,256,12288,512,44288
1,N,T,12288,512,256,44288,512,44288
9,N,T,12288,768,256,12288,768,44288
3,N,T,12288,768,256,44288,768,44288
9,N,T,12544,1024,256,12544,1024,44288
3,N,T,12544,1024,256,44288,1024,44288
14,N,T,12544,1280,256,12544,1280,44288
4,N,T,12544,1280,256,44288,1280,44288
12,N,T,12544,1281,256,12544,1281,44288
4,N,T,12544,1281,256,44288,1281,44288
72,N,T,12544,1792,256,12544,1792,44288
24,N,T,12544,1792,256,44288,1792,44288
60,N,T,12544,2048,256,12544,2048,44288
20,N,T,12544,2048,256,44288,2048,44288
1,N,T,12544,256,256,12544,256,44288
