counts,transA,transB,M,N,K,lda,ldb,ldc
2,N,T,10240,3072,256,10240,3072,44800
2,N,T,10240,3072,256,44800,3072,44800
1,N,T,10240,6913,256,10240,6913,44800
1,N,T,10240,7168,256,10240,7168,44800
1,N,T,10240,7168,256,44800,7168,44800
1,N,T,10240,7169,256,44800,7169,44800
1,N,T,1024,1024,256,1024,1024,44800
1,N,T,1024,1024,256,44800,1024,44800
1,N,T,1024,1025,256,44800,1025,44800
1,N,T,1024,769,256,1024,769,44800
2,N,T,10496,3072,256,10496,3072,44800
2,N,T,10496,3072,256,44800,3072,44800
1,N,T,10496,7169,256,10496,7169,44800
1,N,T,10496,7424,256,10496,7424,44800
1,N,T,10496,7424,256,44800,7424,44800
1,N,T,10496,7425,256,44800,7425,44800
2,N,T,10752,3072,256,10752,3072,44800
2,N,T,10752,3072,256,44800,3072,44800
1,N,T,10752,7425,256,10752,7425,44800
1,N,T,10752,7680,256,10752,7680,44800
1,N,T,10752,7680,256,44800,7680,44800
1,N,T,10752,7681,256,44800,7681,44800
2,N,T,11008,3072,256,11008,3072,44800
2,N,T,11008,3072,256,44800,3072,44800
1,N,T,11008,7681,256,11008,7681,44800
1,N,T,11008,7936,256,11008,7936,44800
1,N,T,11008,7936,256,44800,7936,44800
1,N,T,11008,7937,256,44800,7937,44800
2,N,T,11264,3072,256,11264,3072,44800
2,N,T,11264,3072,256,44800,3072,44800
1,N,T,11264,7937,256,11264,7937,44800
1,N,T,11264,8192,256,11264,8192,44800
1,N,T,11264,8192,256,44800,8192,44800
1,N,T,11264,8193,256,44800,8193,44800
2,N,T,11520,3072,256,11520,3072,44800
2,N,T,11520,3072,256,44800,3072,44800
1,N,T,11520,8193,256,11520,8193,44800
1,N,T,11520,8448,256,11520,8448,44800
1,N,T,11520,8448,256,44800,8448,44800
1,N,T,11520,8449,256,44800,8449,44800
2,N,T,11776,3072,256,11776,3072,44800
2,N,T,11776,3072,256,44800,3072,44800
1,N,T,11776,8449,256,11776,8449,44800
1,N,T,11776,8704,256,11776,8704,44800
1,N,T,11776,8704,256,44800,8704,44800
1,N,T,11776,8705,256,44800,8705,44800
2,N,T,12032,3072,256,12032,3072,44800
2,N,T,12032,3072,256,44800,3072,44800
1,N,T,12032,8705,256,12032,8705,44800
1,N,T,12032,8960,256,12032,8960,44800
1,N,T,12032,8960,256,44800,8960,44800
1,N,T,12032,8961,256,44800,8961,44800
1,N,T,12288,1,256,44800,1,44800
